Wall time,Step,Value
1753451857.4239929,1,6.996923446655273
1753451885.8076813,2,-36.2453498840332
1753451943.148307,4,-17.5789794921875
1753452000.1221213,6,27.189868927001953
1753452028.74068,7,54.86543655395508
1753452057.2234657,8,98.01428985595703
1753452085.8603413,9,149.69378662109375
1753452114.3923783,10,178.71853637695312
1753452143.1047726,11,216.75746154785156
1753452171.3964777,12,244.64297485351562
1753452199.9368334,13,248.46212768554688
1753452228.6446602,14,262.543701171875
1753452257.2147818,15,276.9061279296875
1753452285.6835861,16,287.5025939941406
1753452314.25521,17,306.2759704589844
1753452343.0264242,18,323.4344482421875
1753452371.4736297,19,352.50091552734375
1753452400.0304606,20,376.0457458496094
1753452428.7967331,21,400.8297119140625
1753452457.2538648,22,420.0614929199219
1753452485.7274268,23,440.7323303222656
1753452514.41773,24,440.31256103515625
1753452542.9607584,25,444.23162841796875
1753452571.4736037,26,426.2726745605469
1753452628.7238889,28,411.6986083984375
1753452714.7080255,31,367.6414489746094
1753452743.2301626,32,376.4732360839844
1753452771.7339702,33,379.37042236328125
1753452800.2585468,34,356.6586608886719
1753452828.9652793,35,359.2425842285156
1753452885.9692798,37,377.9699401855469
1753452914.7088623,38,407.0205993652344
1753452943.2315552,39,463.8204040527344
1753452971.7710226,40,560.0493774414062
1753453000.3372517,41,620.3831176757812
1753453057.5353615,43,859.7861938476562
1753453086.0241976,44,996.2794189453125
1753453114.709876,45,1129.54443359375
1753453143.2079086,46,1256.4022216796875
1753453171.715088,47,1429.7708740234375
1753453200.3778472,48,1555.6705322265625
1753453257.5429823,50,1704.81787109375
1753453286.1795897,51,1753.650390625
1753453343.6234505,53,1722.808837890625
1753453372.1336277,54,1724.6470947265625
1753453400.6284091,55,1749.5257568359375
1753453429.3232565,56,1721.9564208984375
1753453457.753703,57,1671.440673828125
1753453486.3354971,58,1665.2044677734375
1753453543.623276,60,1705.375244140625
1753453572.2165918,61,1657.2872314453125
1753453600.7850366,62,1590.6448974609375
1753453629.5674286,63,1587.46240234375
1753453657.9148393,64,1585.468505859375
1753453686.5324805,65,1598.4473876953125
1753453715.3080895,66,1553.4049072265625
1753453743.880813,67,1523.4384765625
1753453772.4566672,68,1524.419189453125
1753453801.0033846,69,1450.739013671875
1753453829.7165182,70,1341.125
1753453886.841923,72,1036.4853515625
1753453915.408583,73,991.3930053710938
1753453944.090353,74,951.24609375
1753453972.601781,75,963.380126953125
