Wall time,Step,Value
1753451880.743449,1,6.996923446655273
1753451909.229991,2,-36.2453498840332
1753451966.0847375,4,-4.468559741973877
1753452022.9556162,6,35.08992004394531
1753452051.4486413,7,78.03384399414062
1753452079.9174905,8,135.81649780273438
1753452108.3367171,9,197.21632385253906
1753452136.6736958,10,226.1946563720703
1753452165.128445,11,272.5368957519531
1753452193.6269023,12,302.1885681152344
1753452222.0322464,13,315.6448669433594
1753452250.52812,14,322.22186279296875
1753452278.8809166,15,337.87579345703125
1753452307.2274816,16,367.0259704589844
1753452335.5705445,17,401.68927001953125
1753452364.160831,18,436.378173828125
1753452392.5904381,19,484.14996337890625
1753452421.0449197,20,525.0479736328125
1753452449.618164,21,571.152587890625
1753452477.9555721,22,591.9605712890625
1753452506.296619,23,615.6655883789062
1753452534.6089098,24,632.9144287109375
1753452563.0634267,25,649.572021484375
1753452591.4336207,26,656.67236328125
1753452648.161309,28,684.8824462890625
1753452733.078349,31,676.3245239257812
1753452761.5762012,32,694.8963623046875
1753452790.0069113,33,720.9118041992188
1753452818.408619,34,739.2816162109375
1753452846.8496227,35,759.3867797851562
1753452903.9170845,37,819.6759033203125
1753452932.212505,38,836.2870483398438
1753452960.7545738,39,875.5850830078125
1753452989.126664,40,920.4464111328125
1753453017.438267,41,1011.5736083984375
1753453074.2806337,43,1199.96240234375
1753453102.6224725,44,1285.0130615234375
1753453131.016697,45,1345.072265625
1753453159.4981844,46,1399.5748291015625
1753453187.9370484,47,1416.9591064453125
1753453216.2621737,48,1474.7264404296875
1753453273.3032553,50,1531.257080078125
1753453301.6579638,51,1550.7164306640625
1753453358.4792547,53,1611.8896484375
1753453386.8644898,54,1649.2144775390625
1753453415.2542546,55,1670.4642333984375
1753453443.4558203,56,1707.144287109375
1753453472.0191073,57,1727.966552734375
1753453500.4894261,58,1742.8004150390625
1753453557.4034355,60,1725.911376953125
1753453585.8607552,61,1699.6973876953125
1753453614.2961686,62,1684.8121337890625
1753453642.7084677,63,1652.9730224609375
1753453671.3154035,64,1614.233642578125
1753453699.7831452,65,1574.6380615234375
1753453728.1809964,66,1549.2557373046875
1753453756.810735,67,1524.9677734375
1753453785.1668487,68,1556.36669921875
1753453813.5796132,69,1589.4287109375
1753453842.076433,70,1620.498291015625
1753453898.8709676,72,1766.1527099609375
1753453927.2528892,73,1819.8946533203125
1753453955.7580504,74,1829.01953125
1753453984.14714,75,1812.292236328125
1753454041.252995,77,1741.3455810546875
1753454069.634929,78,1733.3642578125
1753454098.0449803,79,1742.34716796875
1753454126.4447122,80,1731.8115234375
1753454183.487609,82,1824.938720703125
1753454211.851011,83,1905.5811767578125
1753454268.9155843,85,1962.75732421875
1753454297.3727906,86,1998.308837890625
1753454325.7112176,87,1974.0086669921875
1753454354.285977,88,1928.6312255859375
1753454382.7514367,89,1937.34033203125
1753454411.115406,90,1932.8218994140625
1753454468.2537606,92,1878.5323486328125
1753454496.6128862,93,1891.36669921875
1753454525.021334,94,1920.4586181640625
1753454553.6862385,95,1934.5792236328125
1753454582.2098064,96,1919.9696044921875
1753454610.6462328,97,1957.0626220703125
1753454639.0220482,98,1974.371337890625
1753454696.0890062,100,1985.002197265625
1753454724.4648683,101,2007.907470703125
1753454752.8853714,102,2003.3895263671875
1753454781.520548,103,2042.9488525390625
1753454809.8833547,104,2044.2452392578125
1753454838.2949803,105,2043.984619140625
1753454866.8732495,106,2060.311767578125
1753454895.244746,107,2056.9775390625
1753454952.0580044,109,2063.145751953125
1753454980.4251027,110,2069.358642578125
1753455008.820302,111,2064.9033203125
1753455037.0976486,112,2058.413330078125
1753455094.0408843,114,2033.5660400390625
1753455122.4579067,115,2027.34033203125
1753455150.8837543,116,2007.9158935546875
1753455179.299204,117,2012.8966064453125
1753455207.607326,118,2025.39697265625
1753455235.910383,119,2024.9744873046875
1753455264.4697344,120,2018.57568359375
1753455292.9145434,121,2037.598388671875
1753455321.3457618,122,2056.77197265625
1753455349.8825207,123,2070.3759765625
1753455378.2115133,124,2052.2607421875
1753455406.568301,125,2076.982666015625
1753455434.8463137,126,2080.603759765625
1753455463.4081657,127,2079.764404296875
1753455491.778781,128,2090.49365234375
1753455548.4505844,130,2132.672119140625
1753455577.0326402,131,2127.69140625
1753455662.0994735,134,2100.281982421875
1753455690.4789186,135,2089.39306640625
1753455747.2614207,137,2053.089111328125
1753455775.7681499,138,2048.14111328125
1753455832.464711,140,2050.921630859375
1753455889.3552089,142,2045.087646484375
1753455917.7233515,143,2059.83447265625
1753455946.0400882,144,2073.876708984375
1753455974.6440127,145,2078.061767578125
1753456003.1534545,146,2069.98095703125
1753456031.4875329,147,2083.58154296875
1753456088.3530638,149,2084.375
1753456116.6875906,150,2079.9599609375
1753456144.9074826,151,2084.533447265625
1753456173.4149292,152,2088.5498046875
1753456229.9576678,154,2090.97021484375
1753456258.2841952,155,2081.773193359375
1753456286.6208966,156,2061.454345703125
1753456343.2714427,158,2054.51123046875
1753456371.8695345,159,2056.51171875
1753456400.143233,160,2049.406494140625
1753456457.0062683,162,2071.443603515625
1753456485.401151,163,2063.915283203125
1753456542.136283,165,2004.1624755859375
1753456570.7519708,166,1996.1561279296875
1753456627.4674795,168,1980.6402587890625
1753456655.9140766,169,2003.6265869140625
1753456684.2587848,170,2062.716552734375
1753456741.0979602,172,2092.32666015625
1753456769.6610048,173,2080.92578125
1753456797.9834108,174,2070.599609375
1753456854.873159,176,2062.62158203125
1753456883.2699006,177,2065.366943359375
1753456911.62544,178,2067.8623046875
