Wall time,Step,Value
1753658526.976464,1,6.996923446655273
1753658549.2820954,2,-36.2453498840332
1753658593.0023878,4,-14.459566116333008
1753658615.3364701,5,-8.165213584899902
1753658637.703753,6,26.12681007385254
1753658659.9816294,7,55.72630310058594
1753658682.1830156,8,89.65834045410156
1753658704.522253,9,143.52345275878906
1753658726.7572455,10,170.22349548339844
1753658748.8179436,11,208.73170471191406
1753658770.9669228,12,232.88839721679688
1753658793.2212844,13,234.9122772216797
1753658815.417827,14,252.23370361328125
1753658837.552736,15,273.197998046875
1753658859.8544953,16,297.56842041015625
1753658882.1137297,17,320.98321533203125
1753658904.2057085,18,355.2618408203125
1753658926.452937,19,404.51251220703125
1753658948.5449417,20,442.53924560546875
1753658970.6176715,21,481.5350036621094
1753658992.8160532,22,511.8099060058594
1753659015.1680508,23,536.782470703125
1753659037.2952945,24,549.1441040039062
1753659059.3549557,25,546.7012329101562
1753659081.6847284,26,565.790771484375
1753659103.9062288,27,586.5464477539062
1753659125.9364617,28,608.1763916015625
1753659170.1850042,30,685.3555297851562
1753659192.2914429,31,690.1112060546875
1753659214.4341238,32,702.1386108398438
1753659236.7450018,33,688.6349487304688
1753659258.9205105,34,629.0115356445312
1753659281.0607069,35,550.803955078125
1753659303.369153,36,460.83160400390625
1753659325.6817982,37,393.3841857910156
1753659347.9442766,38,344.1225280761719
1753659370.005328,39,324.26971435546875
1753659392.102762,40,367.8202819824219
1753659414.496577,41,427.9539794921875
1753659459.0926502,43,732.5828857421875
1753659481.3024142,44,850.6714477539062
1753659503.4154048,45,955.0619506835938
1753659525.391009,46,1049.73681640625
1753659547.609849,47,1142.3460693359375
1753659569.767203,48,1190.993896484375
1753659591.9173317,49,1245.24072265625
1753659614.0524008,50,1283.11572265625
1753659636.1613376,51,1327.8892822265625
1753659658.3244228,52,1398.219482421875
1753659680.5021584,53,1449.0208740234375
1753659702.749042,54,1462.5252685546875
1753659724.8841813,55,1460.91943359375
1753659747.0696802,56,1483.3011474609375
1753659769.1086805,57,1498.5421142578125
1753659791.363152,58,1497.29150390625
1753659813.5496535,59,1506.9049072265625
1753659835.7416184,60,1518.6514892578125
1753659858.213684,61,1539.9359130859375
1753659880.2824848,62,1577.3717041015625
1753659902.609514,63,1592.1982421875
1753659924.694833,64,1615.912841796875
1753659946.8624783,65,1608.8992919921875
1753659968.9365184,66,1601.4676513671875
1753659991.0087523,67,1607.89111328125
1753660013.5138426,68,1599.7711181640625
1753660035.6818352,69,1620.7689208984375
1753660058.0212083,70,1581.988037109375
1753660102.6320736,72,1534.682373046875
1753660124.8790524,73,1556.264404296875
1753660146.9844537,74,1552.7745361328125
1753660169.366383,75,1574.94287109375
1753660191.5102866,76,1595.074951171875
1753660213.7192578,77,1644.348388671875
1753660235.8380678,78,1713.228515625
1753660258.3240716,79,1782.6051025390625
1753660280.5288823,80,1853.145751953125
1753660302.6795795,81,1879.30419921875
1753660324.9239402,82,1942.235595703125
1753660347.1200807,83,1977.213134765625
1753660391.4050841,85,2042.3045654296875
1753660413.5972388,86,2060.728515625
1753660435.673679,87,2077.7529296875
1753660457.9193194,88,2052.8154296875
1753660480.0916386,89,2087.85400390625
1753660502.2174969,90,2094.56591796875
1753660524.391701,91,2107.46240234375
1753660546.536832,92,2113.1005859375
1753660568.7149081,93,2113.86962890625
1753660590.8589234,94,2151.26513671875
1753660612.8116813,95,2155.92822265625
1753660634.8659017,96,2172.31884765625
1753660657.0058763,97,2169.70458984375
1753660679.0532472,98,2173.3251953125
1753660701.1639836,99,2193.285888671875
1753660723.2503915,100,2196.295654296875
1753660745.3513176,101,2196.81201171875
1753660767.4434536,102,2176.974609375
1753660789.680689,103,2178.70751953125
1753660812.0178218,104,2150.93212890625
1753660834.0928109,105,2116.818115234375
1753660856.1272485,106,2092.2158203125
1753660878.3669724,107,2087.344970703125
1753660900.5269775,108,2104.118408203125
1753660922.8059907,109,2106.47265625
1753660944.9520295,110,2137.257568359375
1753660967.2691793,111,2176.22216796875
1753660989.2347367,112,2191.2646484375
1753661011.3302517,113,2194.962890625
1753661033.6386638,114,2199.8046875
1753661055.9078436,115,2230.340576171875
1753661077.9305646,116,2220.77587890625
1753661100.1878767,117,2219.792236328125
1753661122.6315684,118,2227.420654296875
1753661144.6729677,119,2226.0751953125
1753661166.9718637,120,2241.18994140625
1753661189.1064484,121,2221.635986328125
1753661211.4373112,122,2207.12646484375
1753661233.3439636,123,2228.339111328125
1753661255.5972288,124,2224.61181640625
1753661277.8967392,125,2214.73681640625
1753661300.0013766,126,2205.8779296875
1753661322.1405084,127,2205.452392578125
1753661344.5501752,128,2193.55859375
1753661388.9701831,130,2196.91552734375
1753661411.2001421,131,2189.135009765625
1753661433.2238708,132,2216.51611328125
1753661477.741652,134,2232.243408203125
1753661499.6834102,135,2240.11572265625
1753661521.7823424,136,2237.67919921875
1753661543.6315477,137,2258.68505859375
1753661565.8767529,138,2262.95458984375
1753661587.8755972,139,2269.146484375
1753661610.2664943,140,2280.906494140625
1753661632.2862074,141,2302.505615234375
1753661654.1762452,142,2309.901611328125
1753661676.489195,143,2306.254638671875
1753661698.5527916,144,2290.899658203125
1753661720.7032533,145,2290.55517578125
1753661742.8513348,146,2250.740966796875
1753661765.1862328,147,2231.675048828125
1753661809.5496037,149,2211.3154296875
1753661831.8234713,150,2200.42236328125
1753661853.7987761,151,2185.521240234375
1753661875.82691,152,2189.7861328125
1753661920.119929,154,2202.62255859375
1753661942.3525567,155,2239.510009765625
1753661964.4856987,156,2242.18603515625
1753661986.7160957,157,2262.338134765625
1753662008.7912483,158,2280.829345703125
1753662031.148127,159,2288.413818359375
1753662053.307733,160,2295.386962890625
1753662075.6912596,161,2299.005859375
1753662097.755369,162,2304.493896484375
1753662119.8738503,163,2277.025634765625
1753662142.2341635,164,2258.51416015625
1753662164.0283706,165,2221.77783203125
1753662186.1344352,166,2184.020751953125
1753662208.2684956,167,2146.416748046875
1753662230.5749886,168,2138.806396484375
1753662252.5724194,169,2126.743408203125
1753662274.2606864,170,2128.30078125
1753662318.384375,172,2119.63720703125
1753662340.2659364,173,2124.49462890625
1753662362.3953667,174,2109.326416015625
1753662406.1849875,176,2131.403076171875
1753662427.962461,177,2178.777099609375
1753662450.0884833,178,2207.515869140625
1753662472.4029703,179,2231.48974609375
1753662494.442898,180,2256.2734375
1753662516.3765929,181,2286.363037109375
1753662538.791192,182,2303.4248046875
1753662560.584836,183,2296.6513671875
1753662582.797345,184,2311.5107421875
1753662604.8038704,185,2322.238525390625
1753662627.2330358,186,2339.406982421875
1753662649.2071292,187,2349.8310546875
1753662671.2135534,188,2359.166015625
1753662693.2693427,189,2374.6845703125
1753662715.450213,190,2374.2431640625
1753662737.4926014,191,2393.502685546875
1753662759.6456146,192,2406.6630859375
1753662826.2757874,195,2419.9052734375
1753662914.8531795,199,2452.9267578125
1753662936.9336603,200,2468.161865234375
1753662959.3486962,201,2485.103759765625
1753662981.564301,202,2490.16259765625
1753663003.6352613,203,2491.236572265625
1753663025.7871912,204,2492.224609375
1753663070.187524,206,2485.500244140625
1753663092.3419392,207,2474.952880859375
1753663114.3585997,208,2473.589599609375
1753663136.5508392,209,2473.21240234375
1753663158.6580439,210,2470.754638671875
1753663202.6173177,212,2470.2158203125
1753663224.6686375,213,2468.7626953125
1753663247.0666265,214,2469.35205078125
1753663269.1267831,215,2462.510009765625
1753663291.1852126,216,2454.737060546875
1753663313.4814591,217,2453.14111328125
1753663335.826432,218,2456.001708984375
1753663357.9252737,219,2454.19091796875
1753663379.992027,220,2464.452880859375
1753663402.3643332,221,2463.724853515625
1753663424.5193093,222,2449.194580078125
1753663446.261181,223,2458.827880859375
1753663468.0732973,224,2462.266845703125
1753663512.5058196,226,2442.9931640625
1753663534.4909697,227,2456.57470703125
1753663556.8674362,228,2444.74658203125
1753663578.7329054,229,2447.98046875
1753663600.8513856,230,2408.96826171875
1753663623.146357,231,2394.1611328125
1753663645.3534887,232,2341.152099609375
1753663667.6080592,233,2303.333984375
1753663689.9050233,234,2323.194580078125
1753663712.034195,235,2321.787353515625
1753663734.0634444,236,2357.65966796875
1753663778.222193,238,2452.840087890625
1753663800.5702696,239,2495.1962890625
1753663822.711503,240,2495.4013671875
1753663844.9143822,241,2497.66796875
1753663867.059272,242,2504.77783203125
1753663889.065262,243,2495.368408203125
1753663911.3819044,244,2503.4794921875
1753663933.5712345,245,2487.560302734375
1753663955.6861289,246,2487.399169921875
1753663977.871992,247,2476.68505859375
1753663999.9613104,248,2459.69775390625
1753664022.1916184,249,2431.85205078125
1753664044.1913729,250,2425.00439453125
1753664066.2241814,251,2427.241943359375
1753664088.3024633,252,2433.28857421875
1753664110.6279113,253,2430.097412109375
1753664132.7951362,254,2444.615478515625
1753664154.8406284,255,2452.46630859375
1753664176.9349396,256,2443.5048828125
1753664198.8581872,257,2444.947021484375
1753664220.9893782,258,2448.91357421875
1753664243.2576177,259,2468.241943359375
1753664265.50398,260,2464.43408203125
1753664287.54236,261,2481.80126953125
1753664309.6801941,262,2456.422607421875
1753664332.0241582,263,2464.34423828125
1753664354.2312598,264,2463.371337890625
1753664376.3219562,265,2451.95751953125
1753664398.3554888,266,2436.49951171875
1753664442.9445555,268,2405.557373046875
1753664465.0243812,269,2398.36865234375
1753664487.3864021,270,2374.305419921875
1753664531.8484514,272,2319.75048828125
1753664553.8522916,273,2304.83056640625
1753664576.2494447,274,2292.94677734375
1753664598.4325504,275,2304.12060546875
1753664620.6860645,276,2300.636962890625
1753664643.007714,277,2300.905029296875
1753664665.1206312,278,2298.30224609375
1753664687.2789168,279,2262.56689453125
1753664709.4688997,280,2276.15771484375
1753664731.6650903,281,2247.141845703125
1753664753.7472842,282,2246.018310546875
1753664775.9472075,283,2274.352783203125
1753664798.1941779,284,2299.501953125
1753664820.34228,285,2339.84130859375
1753664842.4300883,286,2360.451171875
1753664886.916716,288,2387.61962890625
1753664931.1832273,290,2397.57373046875
1753664975.4495394,292,2400.06201171875
1753664997.6657164,293,2433.63525390625
1753665019.8400614,294,2429.326171875
1753665042.0812998,295,2425.984619140625
1753665064.117287,296,2441.437744140625
1753665086.3834467,297,2462.037353515625
1753665108.497322,298,2470.96826171875
1753665130.55012,299,2479.419921875
1753665152.6683054,300,2494.6328125
1753665175.015456,301,2499.950927734375
1753665197.2438653,302,2506.4697265625
1753665219.3011322,303,2500.53125
1753665241.42521,304,2495.905029296875
1753665263.6445494,305,2485.3369140625
1753665330.5806842,308,2469.73681640625
1753665352.7668784,309,2448.41064453125
1753665374.7920866,310,2459.284423828125
1753665397.168683,311,2446.436767578125
1753665419.3253696,312,2455.677978515625
1753665463.7009723,314,2434.539794921875
1753665485.7132356,315,2432.193359375
1753665507.7828,316,2423.12744140625
1753665529.9555829,317,2421.32275390625
1753665552.274036,318,2396.918701171875
1753665574.4459248,319,2387.628662109375
1753665596.6086867,320,2383.9404296875
1753665618.6944048,321,2377.582275390625
1753665641.0243125,322,2386.039794921875
1753665663.3362334,323,2383.477294921875
1753665685.4099581,324,2389.754638671875
1753665707.4835403,325,2403.640869140625
1753665729.517891,326,2411.1162109375
1753665751.5896442,327,2406.1611328125
1753665773.701329,328,2404.151611328125
1753665795.8533978,329,2400.104736328125
1753665817.795603,330,2405.00439453125
1753665839.9435883,331,2399.0068359375
1753665862.027653,332,2397.59326171875
1753665906.4773176,334,2415.08251953125
1753665928.6646624,335,2419.745849609375
1753665950.9685884,336,2417.96240234375
1753665973.2989702,337,2425.158447265625
1753665995.4379025,338,2424.392578125
1753666017.6958249,339,2426.326171875
1753666040.1156812,340,2429.382568359375
1753666062.3015845,341,2428.24853515625
1753666084.4365714,342,2426.502685546875
1753666106.755652,343,2443.440673828125
1753666128.95421,344,2453.751220703125
1753666151.2124898,345,2464.8046875
1753666173.3012407,346,2472.91357421875
1753666195.6469667,347,2483.841796875
