Wall time,Step,Value
1755175816.1367605,1,-6.9073686599731445
1755175856.920187,2,11.443078994750977
1755175946.3269367,4,24.56625747680664
1755175991.536771,5,28.412412643432617
1755176037.0647151,6,43.21709060668945
1755176078.7207444,7,72.51858520507812
1755176122.8034778,8,112.89476776123047
1755176167.3801832,9,136.4084930419922
1755176212.0353847,10,159.05068969726562
1755176256.5952845,11,198.27305603027344
1755176300.711678,12,215.532958984375
1755176345.2645295,13,214.8800506591797
1755176390.6412656,14,227.6885223388672
1755176432.4014766,15,234.8438720703125
1755176476.448777,16,238.82937622070312
1755176520.958916,17,235.2602081298828
1755176565.0409858,18,238.72732543945312
1755176609.3794425,19,238.70553588867188
1755176653.518385,20,239.64157104492188
1755176697.9474435,21,241.99307250976562
1755176742.1475692,22,242.096435546875
1755176786.2025597,23,244.30601501464844
1755176825.3531148,24,242.88201904296875
1755176877.2420237,25,243.27011108398438
1755176928.906444,26,244.94935607910156
1755176971.9117534,27,243.2400665283203
1755177023.1951442,28,247.09927368164062
1755177116.8660662,30,267.2686767578125
1755177165.2343776,31,293.387939453125
1755177213.862385,32,343.7853088378906
1755177262.0841012,33,411.0335693359375
1755177310.478076,34,486.9981384277344
1755177359.8053353,35,577.7166748046875
1755177410.7989986,36,668.2869873046875
1755177428.5807025,37,758.406494140625
1755177438.3353596,38,832.268310546875
1755177447.9891088,39,883.7874755859375
1755177457.5304842,40,929.744873046875
1755177466.941438,41,958.38037109375
1755177486.4376652,43,985.49755859375
1755177496.2431145,44,1005.401611328125
1755177505.4908335,45,1029.5595703125
1755177515.3527076,46,1027.9334716796875
1755177525.0624466,47,1020.788818359375
1755177534.7082229,48,1013.6924438476562
1755177544.1933548,49,1011.7042236328125
1755177553.9755878,50,983.282958984375
1755177563.5320048,51,939.9027099609375
1755177573.1588268,52,912.703125
1755177582.6527417,53,873.6277465820312
1755177592.5072596,54,858.0055541992188
1755177602.3419383,55,885.7567138671875
1755177611.9732401,56,923.842041015625
1755177621.7498882,57,953.69580078125
1755177631.4965446,58,974.7911987304688
1755177641.3030014,59,1015.6427001953125
1755177651.1489863,60,1008.6055908203125
1755177660.9253514,61,1010.1622924804688
1755177670.3330433,62,988.0377197265625
1755177679.831621,63,942.8923950195312
1755177689.4404764,64,877.2651977539062
1755177699.4004595,65,810.2643432617188
1755177709.1514587,66,717.4406127929688
1755177719.06216,67,635.5460205078125
1755177728.925942,68,527.3760986328125
1755177738.3701005,69,422.0240478515625
1755177747.7878997,70,380.2619323730469
1755177767.1160479,72,444.37310791015625
1755177776.4965446,73,521.5533447265625
1755177786.1464524,74,582.36328125
1755177795.796253,75,688.4960327148438
1755177805.4356813,76,758.5535278320312
1755177814.9794092,77,898.0399169921875
1755177824.617155,78,978.5415649414062
1755177834.422463,79,1052.7374267578125
1755177843.973569,80,1160.69140625
1755177853.383485,81,1278.0733642578125
1755177863.038964,82,1406.6856689453125
1755177872.7004542,83,1441.942626953125
1755177891.856833,85,1563.959228515625
1755177901.642145,86,1602.9261474609375
1755177911.0887725,87,1655.44091796875
1755177920.698433,88,1723.729248046875
1755177930.3402827,89,1790.4483642578125
1755177939.9207225,90,1826.732421875
1755177949.379211,91,1784.398681640625
1755177959.064252,92,1808.175048828125
1755177968.7489715,93,1774.7547607421875
1755177977.9231884,94,1691.3184814453125
1755177987.5767107,95,1653.4112548828125
1755177997.147379,96,1619.896484375
1755178006.7531893,97,1544.6103515625
1755178016.1274908,98,1482.5416259765625
1755178025.6463392,99,1486.01904296875
1755178035.4314287,100,1469.3299560546875
1755178045.0321183,101,1428.0093994140625
1755178054.42217,102,1392.2919921875
1755178064.0725763,103,1374.18798828125
1755178074.001867,104,1355.4212646484375
1755178083.7794976,105,1259.91845703125
1755178093.2820446,106,1275.6539306640625
1755178102.852617,107,1258.853759765625
1755178112.6762807,108,1168.2169189453125
1755178122.2621121,109,1101.6708984375
1755178131.7126057,110,1038.146240234375
1755178141.3583453,111,1023.4319458007812
1755178150.7242289,112,1052.37841796875
1755178160.2268546,113,1036.5809326171875
