Wall time,Step,Value
1754296967.6728125,16384,16.64794921875
1754296980.0921385,32768,27.20953369140625
1754297003.8095477,65536,88.67212677001953
1754297015.6870859,81920,125.1720199584961
1754297027.7032964,98304,150.9417266845703
1754297039.609917,114688,177.26551818847656
1754297051.638432,131072,196.87010192871094
1754297063.6863387,147456,207.57611083984375
1754297075.780403,163840,215.0508270263672
1754297087.8109674,180224,229.5730438232422
1754297099.915697,196608,248.84471130371094
1754297112.0126994,212992,266.5590515136719
1754297124.2753017,229376,292.03558349609375
1754297136.5405152,245760,315.62982177734375
1754297148.793661,262144,327.4296875
1754297161.0006766,278528,347.2387390136719
1754297173.2046819,294912,342.18524169921875
1754297185.3724313,311296,360.80413818359375
1754297197.5359378,327680,368.66015625
1754297209.6339993,344064,378.0440673828125
1754297221.6880052,360448,379.09149169921875
1754297233.6375134,376832,385.1810302734375
1754297245.866535,393216,399.53656005859375
1754297257.883186,409600,411.172119140625
1754297269.9250665,425984,443.8440246582031
1754297281.9277487,442368,446.60198974609375
1754297293.8636694,458752,465.4032897949219
1754297318.057416,491520,528.884521484375
1754297330.048992,507904,570.9697875976562
1754297341.8144088,524288,610.6696166992188
1754297353.4642296,540672,649.0162353515625
1754297365.199129,557056,675.3372802734375
1754297377.3023405,573440,698.3402099609375
1754297389.033421,589824,689.1389770507812
1754297401.216517,606208,726.821533203125
1754297413.0901632,622592,757.96435546875
1754297424.8421397,638976,769.6796875
1754297436.480099,655360,744.446044921875
1754297448.1515102,671744,779.2098388671875
1754297471.3567288,704512,1036.1920166015625
1754297482.9239955,720896,1143.8546142578125
1754297494.409542,737280,1169.5296630859375
1754297505.8365357,753664,1235.9732666015625
1754297517.2685535,770048,1253.9522705078125
1754297528.4395137,786432,1122.21630859375
1754297539.9072359,802816,1150.3651123046875
1754297551.2169778,819200,1214.966796875
1754297562.8302202,835584,1196.118408203125
1754297574.2820232,851968,1208.5611572265625
1754297585.7644322,868352,1158.181640625
1754297597.0987427,884736,1157.1541748046875
1754297608.9029422,901120,1159.7215576171875
1754297619.9368303,917504,1313.8887939453125
1754297630.989159,933888,1283.3111572265625
1754297641.9322333,950272,1344.2042236328125
1754297653.0390587,966656,1247.90380859375
1754297664.5905502,983040,1225.7552490234375
1754297675.9520504,999424,1169.0782470703125
1754297687.4226818,1015808,1138.8006591796875
1754297698.810455,1032192,1142.5941162109375
1754297710.200972,1048576,1102.5023193359375
1754297721.1836634,1064960,1108.1614990234375
1754297732.4976232,1081344,1238.2708740234375
1754297744.1541317,1097728,1352.523681640625
1754297755.6572065,1114112,1481.527587890625
1754297767.1992552,1130496,1486.152099609375
1754297778.8522453,1146880,1371.2674560546875
1754297801.8593102,1179648,1311.8529052734375
1754297813.6008968,1196032,1402.4169921875
1754297825.3152883,1212416,1430.843994140625
1754297837.3028972,1228800,1568.228271484375
1754297849.1131856,1245184,1477.7220458984375
1754297861.3635037,1261568,1481.997802734375
1754297873.2987952,1277952,1334.837890625
1754297885.4111674,1294336,1170.2186279296875
1754297897.5929008,1310720,1146.799072265625
1754297909.8219457,1327104,1291.08935546875
1754297921.8222117,1343488,1463.288330078125
1754297933.8100538,1359872,1344.4293212890625
1754297957.332249,1392640,1435.2286376953125
1754297969.1023114,1409024,1571.12890625
1754297980.8488314,1425408,1560.8822021484375
1754297992.6510668,1441792,1627.4376220703125
1754298004.343526,1458176,1859.2152099609375
1754298015.8473938,1474560,2004.3870849609375
1754298027.2409902,1490944,2050.422607421875
1754298038.5129383,1507328,1948.294677734375
1754298049.930425,1523712,1840.560791015625
1754298061.103168,1540096,1881.807373046875
1754298072.3849778,1556480,1695.0001220703125
1754298083.878681,1572864,1568.9031982421875
1754298094.8421695,1589248,1574.7412109375
1754298105.8995428,1605632,1718.19189453125
1754298117.0513592,1622016,1860.6324462890625
1754298128.0790305,1638400,1584.5911865234375
1754298139.5166938,1654784,1552.515869140625
1754298151.0017715,1671168,1602.344970703125
1754298162.592606,1687552,1845.6864013671875
1754298174.1061695,1703936,2041.8404541015625
1754298185.6253417,1720320,2182.19384765625
1754298196.7215452,1736704,2258.188232421875
1754298208.2426474,1753088,2042.2540283203125
1754298219.722484,1769472,1980.8125
1754298231.3412147,1785856,1887.8814697265625
1754298243.0030196,1802240,1970.8660888671875
1754298254.3964643,1818624,2020.031005859375
1754298265.9043512,1835008,1650.066162109375
1754298277.7098007,1851392,1254.444091796875
1754298289.3902624,1867776,1294.055908203125
1754298300.89648,1884160,1473.7154541015625
1754298312.326353,1900544,1714.431396484375
1754298323.8701308,1916928,1859.491943359375
1754298335.3564544,1933312,2060.6796875
1754298347.25654,1949696,2123.765869140625
1754298359.3334286,1966080,1921.6824951171875
1754298371.0268445,1982464,1903.5079345703125
1754298382.6874824,1998848,1802.8970947265625
1754298394.5470128,2015232,1932.3565673828125
1754298406.040885,2031616,2024.355224609375
1754298417.7365406,2048000,2172.872802734375
1754298429.662045,2064384,2257.498291015625
1754298441.7364116,2080768,2322.977783203125
1754298453.8704212,2097152,2322.102294921875
1754298478.0482337,2129920,1856.799560546875
1754298490.3962767,2146304,1628.1585693359375
1754298502.5178616,2162688,1752.5264892578125
1754298526.88334,2195456,2049.079833984375
1754298539.182072,2211840,2222.6142578125
1754298551.452609,2228224,2376.894287109375
1754298563.7926004,2244608,2343.0712890625
1754298575.8512752,2260992,2320.025634765625
1754298588.0717857,2277376,2232.3173828125
1754298600.2869031,2293760,2211.491943359375
1754298612.448003,2310144,2145.22998046875
1754298624.843107,2326528,1908.4896240234375
1754298637.1383429,2342912,1581.2291259765625
1754298649.4055047,2359296,1496.38720703125
1754298661.7031553,2375680,1644.3748779296875
1754298673.9312909,2392064,1801.4749755859375
1754298686.2062275,2408448,1789.5338134765625
1754298710.07269,2441216,1678.5499267578125
1754298722.2837338,2457600,1453.9591064453125
1754298734.2155144,2473984,1557.133544921875
1754298746.0938516,2490368,1804.2579345703125
1754298769.6815631,2523136,2188.420654296875
1754298781.1427813,2539520,2204.6513671875
1754298792.7505255,2555904,2187.43115234375
1754298804.4792428,2572288,2235.38427734375
1754298816.1409602,2588672,2139.81982421875
1754298827.997356,2605056,1910.2982177734375
1754298839.773157,2621440,1917.9168701171875
1754298851.3973513,2637824,1940.6170654296875
1754298862.9765406,2654208,1938.8909912109375
1754298874.4432905,2670592,1782.8968505859375
1754298886.035966,2686976,1784.6517333984375
1754298897.4470854,2703360,1873.39599609375
1754298908.9156187,2719744,1986.852294921875
1754298920.469135,2736128,1955.1204833984375
1754298932.096816,2752512,1968.0091552734375
1754298943.491637,2768896,2102.79736328125
1754298954.653806,2785280,2085.480712890625
1754298977.1587422,2818048,1566.280517578125
